Category,Subtitle,Name,Description,Price,Tags
REFRESHING BEVERAGES,SIP ON IT,ORANGE MINT,Sweet and tangy orange juice with a hint of mint.,155,
REFRESHING BEVERAGES,SIP ON IT,VIRGIN MOJITO,"Fresh mint leaves muddled with lime wedges, topped  with sparkling soda water and a dash of sweetness.",149,
REFRESHING BEVERAGES,SIP ON IT,STUDIO SPECIAL SPICY KIWI,"Spicy, sweet and sour margarita with Kiwi and Mint.",149,Studio Special
REFRESHING BEVERAGES,SIP ON IT,BLUE LAGOON,Sinfully blended blue curacao and lemonade topped with ice cubes.,139,
REFRESHING BEVERAGES,SIP ON IT,MANGO TANGO MOJITO,Succulent mango mingles with zesty lime and mint for a refreshing twist on a classic mocktail.,149,Studio Special
REFRESHING BEVERAGES,SIP ON IT,LEMON ICED TEA,"Zesty lemons and brewed tea, served over ice for a refreshing delight. Balancing citrus tang with soothing.",145,
REFRESHING BEVERAGES,SIP ON IT,PEACH ICED TEA,"Peach-infused tea with a zesty twist of fresh lemon, a tantalizing fusion of fruity and citrusy goodness.",155,Studio Special
REFRESHING BEVERAGES,SIP ON IT,FRESH LIME SODA,Fresh lime juice delightfully mixed into chilled soda. Mixed /Salted/Sweet.,75,
REFRESHING BEVERAGES,SIP ON IT,FRESH LIME WATER,"Classic, zesty mix of fresh lime juice in chilled water. Mixed /Salted/Sweet.",65,
REFRESHING BEVERAGES,SIP ON IT,MASALA COLD DRINK,"Chilled, refreshing soft drinks with a twist of Indian spices. Choice of available flavours.",85,
REFRESHING BEVERAGES,SIP ON IT,PACKAGED DRINKING WATER,MRP + Establishment Cost.,20,
REFRESHING BEVERAGES,SIP ON IT,SOFT DRINK,Choice of available flavours.,59,
SOUP & CRUNCHES,SOUP,SWEET CORN SOUP,"Tender corn kernels, spices and herbs in a delightful chinese broth.",145,Non-veg
SOUP & CRUNCHES,SOUP,SWEET CORN SOUP,"Tender corn kernels, spices and herbs in a delightful chinese broth.",125,Veg
SOUP & CRUNCHES,SOUP,MANCHOW SOUP,"Crunchy vegetables in a spicy chinese flavoured onion, garlic, ginger broth, topped with fried noodles.",150,Non-veg
SOUP & CRUNCHES,SOUP,MANCHOW SOUP,"Crunchy vegetables in a spicy chinese flavoured onion, garlic, ginger broth, topped with fried noodles.",125,Veg
SOUP & CRUNCHES,SOUP,LEMON CORIANDER SOUP,Oriental clear soup with a twist of fresh coriander leaves and a dash of lemon juice.,145,Non-veg
SOUP & CRUNCHES,SOUP,LEMON CORIANDER SOUP,Oriental clear soup with a twist of fresh coriander leaves and a dash of lemon juice.,125,Veg
SOUP & CRUNCHES,SOUP,HOT AND SOUR SOUP,A spicy and tangy broth with mixed vegetables and a hint of pepper.,150,"Chilli, Non-veg"
SOUP & CRUNCHES,SOUP,HOT AND SOUR SOUP,A spicy and tangy broth with mixed vegetables and a hint of pepper.,125,"Chilli,Veg"
CRUNCHY MUNCHY  ,CRUNCHES,FISH FINGER,"Deep fried batter coated fish strips, served with sweet chilli sauce.",349,Non-veg
CRUNCHY MUNCHY  ,CRUNCHES,CRISPY WINGS,Chicken wings tossed in a spicy condiment and golden fried until perfection.,299,"Non-veg, Chilli"
CRUNCHY MUNCHY  ,CRUNCHES,VEG SPRING ROLL,"Crunchy, savoury vegetables rolled in a pastry sheet, deep fried and served with a sweet chili dip.",209,Veg
CRUNCHY MUNCHY  ,CRUNCHES,FRENCH FRY,Deep-fried potato fingers crispy outside and fluffy inside.,149,"Veg, Kid's Loves It"
CRUNCHY MUNCHY  ,CRUNCHES,FISH AND CHIPS,"Boneless fish strips, dipped in a crispy batter and deep fried until golden, served with deep fried potato fingers.",369,Non-veg
CRUNCHY MUNCHY  ,CRUNCHES,CRISPY CHICKEN STRIPS,"Tender, golden-brown Chicken Strips, Crispy on the outside, juicy on the inside.",305,Non-veg
CRUNCHY MUNCHY  ,CRUNCHES,LOADEED CHICKEN FRENCH FRY,"Topped with tantalizing chicken popcorn, drizzled with creamy mayo sauce and zesty tandoori mayo.",299,Non-veg
FEEL THE FILLING  ,MOMO & DUMPLINGS,STEAM MOMO,"Momo stuffed with mix of soft juicy boneless chicken, onion & coriander cooked in blend of herbs and tinch of spices.",160,Non-veg
FEEL THE FILLING  ,MOMO & DUMPLINGS,STEAM MOMO,"Momo stuffed with mix of soft juicy boneless chicken, onion & coriander cooked in blend of herbs and tinch of spices.",140,Veg
FEEL THE FILLING  ,MOMO & DUMPLINGS,FRIED MOMO,"Deep fried dumplings with a flavourful spicy filling, served with chilli dip.",160,"Non-veg,Chilli"
FEEL THE FILLING  ,MOMO & DUMPLINGS,FRIED MOMO,"Deep fried dumplings with a flavourful spicy filling, served with chilli dip.",140,"Veg, Chilli"
FEEL THE FILLING  ,MOMO & DUMPLINGS,PAN FRIED MOMO,Fried momo sautéed in hot schezwan sauce.,175,"Non-veg, Chilli"
FEEL THE FILLING  ,MOMO & DUMPLINGS,PAN FRIED MOMO,Fried momo sautéed in hot schezwan sauce.,155,"Veg, Chilli"
FEEL THE FILLING  ,MOMO & DUMPLINGS,FRIED CHEESY MOMO,"Chef's special crispy fried dumplings, stuffed with a savoury filling, and coated in a rich, creamy and cheesy sauce.",175,"Non-veg, Studio Special"
FEEL THE FILLING  ,MOMO & DUMPLINGS,FRIED CHEESY MOMO,"Chef's special crispy fried dumplings, stuffed with a savoury filling, and coated in a rich, creamy and cheesy sauce.",155,"Veg, Studio Special"
GRILLED & TANDOOR,TANDOORI VEG DELIGHT,HARA BHARA SEEKH KEBAB,"Tandoor grilled spinach, peas and potatoes patties.",245,Veg
GRILLED & TANDOOR,TANDOORI VEG DELIGHT,PANEER SUFIANA MALAI,"Rich, creamy cottage cheese in a mildly flavoured marinade, cooked on clay oven spices.",295,Veg
GRILLED & TANDOOR,TANDOORI VEG DELIGHT,PANEER TIKKA,"Cottage cheese, capsicum, tomato and onion, spice coated and charred on traditional Indian clay oven.",275,Veg
GRILLED & TANDOOR,TANDOORI VEG DELIGHT,PANEER PAHADI,"Tandoor grilled cottage cheese, in a spicy green marinade of fresh mint, coriander leaves, ginger garlic and green chillies.",285,"Veg, Chilli"
ORIENTAL APPETIZERS,VEGGIE SENSATION,CRISPY CHILLI BABY CORN,"Crispy baby corn in plum sauce with onions, garlic, green chilies for spicy-sweet indulgence.",249,"Veg, Chilli"
ORIENTAL APPETIZERS,VEGGIE SENSATION,AMERICAN CORN SALT & PEPPER,"Crispy, batter fried corn kernels, vegetables and onions tossed in mild spices and a dash of pepper.",259,Veg
ORIENTAL APPETIZERS,VEGGIE SENSATION,MUSHROOM & BABYCORN PEPPER SALT,"Sautéed garlic, tender baby corn, crispy mushrooms, seasoned with pepper, garlic.",269,Veg
ORIENTAL APPETIZERS,VEGGIE SENSATION,WOK TOSSED CHILLI PANEER DRY,"Golden fried cottage cheese, capsicum and onion, tossed in chinese sauce.",265,"Veg, Chilli"
ORIENTAL APPETIZERS,VEGGIE SENSATION,HONEY BABY CORN,"Baby corn coated in batter, deep fried and tossed in honey & sweet sauce.",259,Veg
